user_id,timestamp,group,landing_page,converted
830101,06:41.5,control,old_page,0
822770,44:38.6,control,old_page,0
783368,44:18.9,control,old_page,0
723534,42:06.9,control,old_page,0
763084,29:38.6,control,old_page,0
834121,17:33.0,control,old_page,0
650495,48:09.9,control,old_page,0
767742,14:48.6,control,old_page,0
750604,07:06.1,control,old_page,0
912108,05:45.5,control,old_page,0
820666,58:11.6,control,old_page,0
793652,03:48.5,control,old_page,0
754424,36:09.0,control,old_page,0
715404,35:12.3,control,old_page,0
868100,28:58.2,control,old_page,1
921035,31:43.2,control,old_page,0
640134,54:29.0,control,old_page,0
653313,23:54.7,control,old_page,0
747493,20:46.1,control,old_page,0
915127,24:54.6,control,old_page,0
885400,28:15.4,control,old_page,1
926798,03:45.6,control,old_page,0
852522,27:00.1,control,old_page,0
868788,20:28.8,control,old_page,0
912197,11:24.9,control,old_page,0
760417,14:08.5,control,old_page,0
679391,52:55.3,control,old_page,0
814478,33:52.4,control,old_page,0
896378,14:31.4,control,old_page,0
850990,12:42.3,control,old_page,0
734282,09:14.7,control,old_page,0
718186,20:54.6,control,old_page,0
721130,53:44.8,control,old_page,0
652660,56:24.4,control,old_page,0
705552,45:00.1,control,old_page,0
698562,46:21.4,control,old_page,0
816695,42:54.7,control,old_page,0
933879,11:50.4,control,old_page,0
649659,18:18.5,control,old_page,1
809468,35:59.8,control,old_page,0
697027,34:35.9,control,old_page,0
806915,12:48.3,control,old_page,0
812072,28:48.9,control,old_page,0
712272,20:07.0,control,old_page,0
654087,14:30.2,control,old_page,0
725398,10:30.3,control,old_page,0
854455,15:00.5,control,old_page,0
763286,57:19.5,control,old_page,0
710670,27:54.4,control,old_page,1
744967,05:00.9,control,old_page,0
887688,17:59.6,control,old_page,0
892092,18:53.6,control,old_page,0
825385,27:34.6,control,old_page,0
877863,11:45.9,control,old_page,1
669993,08:24.3,control,old_page,0
902001,28:41.2,control,old_page,1
744232,31:03.1,control,old_page,1
890138,30:34.2,control,old_page,0
665054,28:05.2,control,old_page,0
692503,45:14.5,control,old_page,0
841300,47:11.5,control,old_page,0
663512,32:49.7,control,old_page,0
749813,25:02.7,control,old_page,1
852718,31:26.6,control,old_page,0
919712,58:17.5,control,old_page,0
699859,33:46.0,control,old_page,0
812010,04:08.4,control,old_page,1
795089,01:50.5,control,old_page,0
861447,49:55.2,control,old_page,0
714785,37:24.4,control,old_page,0
711654,21:34.5,control,old_page,0
854060,12:45.8,control,old_page,0
812168,28:01.2,control,old_page,0
743889,14:16.6,control,old_page,1
689503,21:34.2,control,old_page,0
896895,27:30.0,control,old_page,0
874954,39:01.5,control,old_page,0
762014,46:24.8,control,old_page,0
930822,57:32.0,control,old_page,0
849236,56:44.4,control,old_page,0
653743,04:14.4,control,old_page,0
678088,53:34.1,control,old_page,0
653849,26:16.3,control,old_page,0
735631,32:57.5,control,old_page,1
833431,18:28.5,control,old_page,0
694953,02:32.4,control,old_page,0
682692,42:14.8,control,old_page,0
869614,21:59.8,control,old_page,0
766379,43:14.2,control,old_page,0
913804,50:12.0,control,old_page,0
676349,14:44.3,control,old_page,0
888742,32:00.2,control,old_page,0
770583,24:13.7,control,old_page,0
903966,26:21.9,control,old_page,0
636439,40:46.7,control,old_page,0
769424,41:05.5,control,old_page,0
854561,54:31.2,control,old_page,0
857740,03:20.6,control,old_page,1
856321,06:37.9,control,old_page,0
781738,49:19.8,control,old_page,0
729327,33:25.9,control,old_page,0
